comment,label
dyke,1
fuck,1
lousy old bitch,1
shit,1
@$$,1
@ss,1
a$$,1
a-holeasshole,1
a_s_s,1
ahole,1
alottavagina,1
americunt,1
anal cavityfart,1
analreaper,1
"I liked the girl, not knowing she was such a asshole!",1
anilingus,1
apeshit,1
You are a waste of space,1
arabicfuck,1
arrse,1
arse,1
arseface,1
arsefuck,1
arsefucking,1
arsehat,1
arsehole,1
arseholes,1
arselicker,1
arses,1
ash0le,1
ash0les,1
asholes,1
ass,1
assbutt,1
assclown,1
asses,1
assface,1
assfuck,1
assfucker,1
assfucking,1
assfukka,1
assh0le,1
assh0lez,1
asshat,1
asshole,1
foolish boy!,1
foolish,1
foolish girl!,1
assholes,1
assholz,1
assmonkey,1
assmunch,1
assrammer,1
asswhole,1
asswipe,1
azz,1
azzfuck,1
azzhole,1
b!+ch,1
b!tch,1
b*tch,1
b00b,1
b00bs,1
b17ch,1
b1tch,1
baby batter,1
ball gag,1
ball gravy,1
ball licking,1
ball sucking,1
ballsack,1
ballsdee,1
ballsdeep,1
ballsucker,1
bangbros,1
bare tits,1
bassterds,1
bastard,1
bastardo,1
bastards,1
bastardz,1
basterd,1
basterds,1
basterdz,1
beaner,1
beaners,1
beatch,1
beaver cleaver,1
beaver lips,1
beetlecock,1
bellend,1
bi+ch,1
bi7ch,1
biatch,1
bich,1
bicth,1
big bazookas,1
big breast,1
big tits,1
bigger breast,1
biitch,1
biotch,1
biotches,1
bit*h,1
bitch,1
bitch*,1
bitchass,1
bitcher,1
bitchers,1
bitches,1
bitchface,1
bitchin,1
bitching,1
bitchs,1
bloodfuckers,1
blow job,1
blow jobs,1
blow your load,1
blowjob,1
blowjobs,1
blue waffle,1
bluefuckingfilms,1
blumpkin,1
boffing,1
bollock*,1
bollocks,1
bollox,1
boob,1
boobies,1
boobs,1
booties,1
bootlip,1
penis in vagina,1
booty,1
brainfuck,1
breasts,1
brotherfucker,1
brown showers,1
btch,1
bubbies,1
bubs,1
bukkake,1
bulldyke,1
bullshit,1
bulshit,1
bumblefuck,1
bumfuck,1
bung hole,1
bunghole,1
butt,1
buttfuck,1
buttmuch,1
buttmunch,1
buttocks,1
bytch,1
bytches,1
c0ck,1
c0cks,1
c0cksucker,1
c0k,1
cack,1
camel jockey,1
camel toe,1
camslut,1
camwhore,1
canfuck,1
carpet muncher,1
